"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify SQL injection protection in user ID parameter","539","testSqlInjectionProtection","Surefire suite","Fri Aug 15 13:52:33 GMT 2025","passed","Fri Aug 15 13:52:34 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testSqlInjectionProtection"
"Verify error handling for non-numeric cart ID","973","testGetSingleCartByNonNumericId","Surefire suite","Fri Aug 15 13:48:32 GMT 2025","passed","Fri Aug 15 13:48:33 GMT 2025","com.emmanuelarhu.tests.CartsApiTest","Surefire test","com.emmanuelarhu.tests.CartsApiTest","testGetSingleCartByNonNumericId"
"Verify that users can login with valid credentials","2390","testLoginWithValidCredentials","Surefire suite","Fri Aug 15 13:49:44 GMT 2025","passed","Fri Aug 15 13:49:47 GMT 2025","com.emmanuelarhu.tests.AuthApiTest","Surefire test","com.emmanuelarhu.tests.AuthApiTest","testLoginWithValidCredentials"
"Verify error handling when deleting product with invalid ID","653","testDeleteProductWithInvalidId","Surefire suite","Fri Aug 15 13:51:53 GMT 2025","passed","Fri Aug 15 13:51:54 GMT 2025","com.emmanuelarhu.tests.ProductsApiTest","Surefire test","com.emmanuelarhu.tests.ProductsApiTest","testDeleteProductWithInvalidId"
"Verify appropriate error handling for invalid product IDs","463","testGetSingleProductByInvalidId","Surefire suite","Fri Aug 15 13:51:31 GMT 2025","failed","Fri Aug 15 13:51:32 GMT 2025","com.emmanuelarhu.tests.ProductsApiTest","Surefire test","com.emmanuelarhu.tests.ProductsApiTest","testGetSingleProductByInvalidId"
"Verify that a single cart can be retrieved by valid ID","1027","testGetSingleCartByValidId","Surefire suite","Fri Aug 15 13:48:23 GMT 2025","passed","Fri Aug 15 13:48:24 GMT 2025","com.emmanuelarhu.tests.CartsApiTest","Surefire test","com.emmanuelarhu.tests.CartsApiTest","testGetSingleCartByValidId"
"Verify error handling when creating user with malformed JSON","476","testCreateUserWithMalformedJson","Surefire suite","Fri Aug 15 13:52:21 GMT 2025","passed","Fri Aug 15 13:52:22 GMT 2025","com.emmanuelarhu.tests.UsersApiTest","Surefire test","com.emmanuelarhu.tests.UsersApiTest","testCreateUserWithMalformedJson"
"Test cart creation with negative quantities","-61","testCreateCartWithNegativeQuantities","Surefire suite","Fri Aug 15 13:49:37 GMT 2025","failed","Fri Aug 15 13:49:37 GMT 2025","com.emmanuelarhu.tests.CartsApiTest","Surefire test","com.emmanuelarhu.tests.CartsApiTest","testCreateCartWithNegativeQuantities"
"Verify error handling when creating cart with invalid user ID","731","testCreateCartWithInvalidUserId","Surefire suite","Fri Aug 15 13:48:50 GMT 2025","failed","Fri Aug 15 13:48:51 GMT 2025","com.emmanuelarhu.tests.CartsApiTest","Surefire test","com.emmanuelarhu.tests.CartsApiTest","testCreateCartWithInvalidUserId"
"Test login with special characters in credentials","901","testLoginWithSpecialCharacters","Surefire suite","Fri Aug 15 13:51:18 GMT 2025","passed","Fri Aug 15 13:51:18 GMT 2025","com.emmanuelarhu.tests.AuthApiTest","Surefire test","com.emmanuelarhu.tests.AuthApiTest","testLoginWithSpecialCharacters"
